"id","dish_name","price","category","sub_category","ingredients"
"75","PETTO ALEXI","925.00","SECONDI","POLLO","GRILLED, STUFFED WITH PROSCIUTTOM GOUDA FORMA, BELL PEPPERS, FETTUCINE SIDE"
"76","ACCROTOLATO","985.00","SECONDI","POLLO","SPINACH, WHITE WINE CREAM, GORGONZOLA, VEGETABLE SIDES"
"77","PETTO DIAVOLA","925.00","SECONDI","POLLO","GRILLED, ITALIAN HERBS, VEGETABLE SIDES"
"78","FILETTO DI MANZO AI FUNGHI","1250.00","SECONDI","MANZO","GRILLED BEEF TENDERLOIN, MUSHROOM CREAM SAUCE, VEGETABLE SIDES"
"79","AGNELLO ALLA SCOTTADITO","1850.00","SECONDI","MANZO","GRILLED LAMB CHOPS, GREMOLATA, MINT JELLY, ROASTED VEGETABLES"
"80","LA BISTECCA","2250.00","SECONDI","MANZO","U.S. ANGUS RIB EYE STEAK, RED WINE SAUCE, ROASTED VEGETABLES"
"81","VITELLO ALLA MILANESE","1150.00","SECONDI","MANZO","BREADED VEAL SCALOPPINE, SPINACH, MINT JELLY, LEMON"
"82","VITELLO AL MARSALA","1350.00","SECONDI","MANZO","PAN SEARED VEAL, MUSHROOMS, MARSALA SAUCE, VEGETABLE SIDES"
"83","VITELLO AI FUNGHI","1250.00","SECONDI","MANZO","BREADED VEAL SCALOPPINE, SPINACH, MUSHROOM CREAM SAUCE"
"84","BREWED","165.00","CAFFE","None","None"
"85","ESPRESSO","165.00","CAFFE","None","None"
"86","DOPIO","225.00","CAFFE","None","None"
"87","LATTE","185.00","CAFFE","None","None"
"88","CAPUCCINO","185.00","CAFFE","None","None"
"89","MAROCCHINO","185.00","CAFFE","None","None"
"90","SODA","115.00","BEVANDE","None","None"
"91","FRESH FRUIT SHAKE IN SEASON","225.00","BEVANDE","None","None"
"92","HOUSE MADE ICED TEA","145.00","BEVANDE","None","None"
"93","SAN PELLEGRINO","250.00","BEVANDE","None","None"
"94","TWINNINGS TEA","95.00","BEVANDE","None","None"
"95","CARMEN'S BEST - 1 PINT","588.00","ICE CREAM","None","None"
"96","CARMEN'S BEST - 2 SCOOPS","200.00","ICE CREAM","None","None"
"97","CARMEN'S BEST - 3 SCOOPS","280.00","ICE CREAM","None","None"
"98","BRAZO DE MERCEDEZ - SLICE","225.00","CAKE","None","None"
"99","BRAZO DE MERCEDEZ - WHOLE","1935.00","CAKE","None","None"
"100","CANONIGO - SLICE","215.00","CAKE","None","None"
"101","CANONIGO - WHOLE","1755.00","CAKE","None","None"
"102","CONCORDE - SLICE","255.00","CAKE","None","None"
"103","CONCORDE - WHOLE","1785.00","CAKE","None","None"
"104","CREME BRULEE - SLICE","265.00","CAKE","None","None"
"105","CREME BRULEE - WHOLE","2385.00","CAKE","None","None"
"106","MOCHA SANSRIVAL - SLICE","265.00","CAKE","None","None"
"107","MOCHA SANSRIVAL - WHOLE","2120.00","CAKE","None","None"
"108","ANNA SPINATO PINOT GRIGIO - GLASS","380.00","WINE","WHITE","None"
"109","ANNA SPINATO PINOT GRIGIO - BOTTLE","1500.00","WINE","WHITE","None"
"110","FINCA LAS MORAS SAUVIGNON BLANC  -  GLASS","380.00","WINE","WHITE","None"
"111","FINCA LAS MORAS SAUVIGNON BLANC - BOTTLE","1500.00","WINE","WHITE","None"
"112","VILLA GIRARDI PINOT GRIGIO DELLE VENEZIE - GLASS","380.00","WINE","WHITE","None"
"113","VILLA GIRARDI PINOT GRIGIO DELLE VENEZIE - BOTTLE","1500.00","WIINE","WHITE","None"
"114","WILD ROCK CHARDONNAY - GLASS","380.00","WINE","WHITE","None"
"115","WILD ROCK CHARDONNAY - BOTTLE","1500.00","WINE","WHITE","None"
"116","CRAGGY RANGE CHARDONNAY - BOTTLE","1950.00","WINE","WHITE","None"
"117","CRAGGY RANGE SAUVIGNON BLANC - BOTTLE","1950.00","WINE","WHITE","None"
"118","FINCA LAS MORAS MALBEC  - GLASS","380.00","WINE","RED","None"
"119","FINCA LAS MORAS MALBEC - BOTTLE","1500.00","WINE","RED","None"
"120","VILLA GIRARDI VALPOLICELLA CLASSICO - GLASS","380.00","WINE","RED","None"
"121","VILLA GIRARDI VALPOLICELLA CLASSICO - BOTTLE","1500.00","WINE","RED","None"
"122","WILD ROCK MERLOT - GLASS","380.00","WINE","RED","None"
"123","WILD ROCK MERLOT - BOTTLE","1500.00","WINE","RED","None"
"124","PRESTIGE CHIANTI CLASSICO","1950.00","WINE","RED","None"
"125","BERONIA CRIANZA RIOJA","1950.00","WINE","RED","None"
"126","BERONIA TEMPRANILLO","1950.00","WINE","RED","None"
